gene,chr,start,end,gene_biotype,coding_strand,length,genomic_position
Ankrd39,1,36537507,36547445,protein_coding,-1,9938,chr1_36537507_36547445
Sema4c,1,36548639,36558349,protein_coding,-1,9710,chr1_36548639_36558349
Fam178b,1,36562692,36683183,protein_coding,-1,120491,chr1_36562692_36683183
Cox5b,1,36691449,36693681,protein_coding,1,2232,chr1_36691449_36693681
Actr1b,1,36698114,36714422,protein_coding,-1,16308,chr1_36698114_36714422
4933424G06Rik,1,36710149,36757953,protein_coding,1,47804,chr1_36710149_36757953
Gm33533,1,36739048,36744792,lincRNA,-1,5744,chr1_36739048_36744792
Zap70,1,36761798,36782818,protein_coding,1,21020,chr1_36761798_36782818
Tmem131,1,36792191,36943666,protein_coding,-1,151475,chr1_36792191_36943666
Vwa3b,1,37026596,37187613,protein_coding,1,161017,chr1_37026596_37187613
Gm37020,1,37132273,37133264,antisense,-1,991,chr1_37132273_37133264
Cnga3,1,37214434,37263384,protein_coding,1,48950,chr1_37214434_37263384
Inpp4a,1,37299865,37410736,protein_coding,1,110871,chr1_37299865_37410736
4930439A04Rik,1,37329667,37334172,antisense,-1,4505,chr1_37329667_37334172
Coa5,1,37417084,37430103,protein_coding,-1,13019,chr1_37417084_37430103
Unc50,1,37430139,37439124,protein_coding,1,8985,chr1_37430139_37439124
Mgat4a,1,37439340,37541016,protein_coding,-1,101676,chr1_37439340_37541016
2010300C02Rik,1,37611677,37720085,protein_coding,-1,108408,chr1_37611677_37720085
4930556I23Rik,1,37614259,37615372,antisense,1,1113,chr1_37614259_37615372
Tsga10,1,37754776,37866429,protein_coding,-1,111653,chr1_37754776_37866429
Gm26805,1,37865299,37871388,antisense,1,6089,chr1_37865299_37871388
Lipt1,1,37871738,37876228,protein_coding,1,4490,chr1_37871738_37876228
Mitd1,1,37874801,37890411,protein_coding,-1,15610,chr1_37874801_37890411
Mrpl30,1,37890477,37898535,protein_coding,1,8058,chr1_37890477_37898535
Lyg2,1,37905923,37916493,protein_coding,-1,10570,chr1_37905923_37916493
Gm15457,1,37933596,37954136,antisense,1,20540,chr1_37933596_37954136
Lyg1,1,37946736,37957759,protein_coding,-1,11023,chr1_37946736_37957759
Txndc9,1,37985189,37997893,protein_coding,-1,12704,chr1_37985189_37997893
Eif5b,1,37998010,38055579,protein_coding,1,57569,chr1_37998010_38055579
Rev1,1,38052786,38129801,protein_coding,-1,77015,chr1_38052786_38129801
Gm5099,1,38132083,38159892,lincRNA,1,27809,chr1_38132083_38159892
Aff3,1,38177326,38664955,protein_coding,-1,487629,chr1_38177326_38664955
Gm16150,1,38235420,38246666,antisense,1,11246,chr1_38235420_38246666
Gm16151,1,38307902,38311930,antisense,1,4028,chr1_38307902_38311930
Gm16152,1,38384949,38393974,antisense,1,9025,chr1_38384949_38393974
Lonrf2,1,38793645,38836711,protein_coding,-1,43066,chr1_38793645_38836711
Chst10,1,38863867,38898161,protein_coding,-1,34294,chr1_38863867_38898161
Gm37707,1,38884754,38888072,antisense,1,3318,chr1_38884754_38888072
Nms,1,38939149,38950276,protein_coding,1,11127,chr1_38939149_38950276
Pdcl3,1,38985608,38997238,protein_coding,1,11630,chr1_38985608_38997238
Gm37821,1,39048648,39057637,lincRNA,-1,8989,chr1_39048648_39057637
Npas2,1,39193731,39363236,protein_coding,1,169505,chr1_39193731_39363236
Rpl31,1,39367842,39371911,protein_coding,1,4069,chr1_39367842_39371911
Tbc1d8,1,39371492,39478755,protein_coding,-1,107263,chr1_39371492_39478755
Cnot11,1,39534992,39546889,protein_coding,1,11897,chr1_39534992_39546889
Rnf149,1,39551296,39577405,protein_coding,-1,26109,chr1_39551296_39577405
Creg2,1,39618406,39651474,protein_coding,-1,33068,chr1_39618406_39651474
D930019O06Rik,1,39650176,39657390,antisense,1,7214,chr1_39650176_39657390
Rfx8,1,39665301,39720997,protein_coding,-1,55696,chr1_39665301_39720997
1700066B17Rik,1,39839175,39847334,lincRNA,-1,8159,chr1_39839175_39847334
Map4k4,1,39900913,40026310,protein_coding,1,125397,chr1_39900913_40026310
Il1r2,1,40074079,40125231,protein_coding,1,51152,chr1_40074079_40125231
Gm16894,1,40076228,40085851,antisense,-1,9623,chr1_40076228_40085851
Il1r1,1,40225080,40317257,protein_coding,1,92177,chr1_40225080_40317257
Il1rl2,1,40324610,40367562,protein_coding,1,42952,chr1_40324610_40367562
Il1rl1,1,40429570,40465415,protein_coding,1,35845,chr1_40429570_40465415
Il18r1,1,40465552,40500854,protein_coding,1,35302,chr1_40465552_40500854
Il18rap,1,40515362,40551705,protein_coding,1,36343,chr1_40515362_40551705
Gm35801,1,40572188,40580662,antisense,-1,8474,chr1_40572188_40580662
Slc9a4,1,40580081,40630725,protein_coding,1,50644,chr1_40580081_40630725
Slc9a2,1,40680574,40769273,protein_coding,1,88699,chr1_40680574_40769273
Gm37623,1,40691442,40697636,antisense,-1,6194,chr1_40691442_40697636
Gm37915,1,40771385,40785343,antisense,1,13958,chr1_40771385_40785343
Mfsd9,1,40772038,40790687,protein_coding,-1,18649,chr1_40772038_40790687
Tmem182,1,40805601,40856887,protein_coding,1,51286,chr1_40805601_40856887
Gm29260,1,41781808,41939560,lincRNA,1,157752,chr1_41781808_41939560
Gm9915,1,42229726,42231108,lincRNA,1,1382,chr1_42229726_42231108
Gm29664,1,42238233,42238695,lincRNA,-1,462,chr1_42238233_42238695
Gm28175,1,42261855,42304412,lincRNA,1,42557,chr1_42261855_42304412
Gm28140,1,42324590,42355937,lincRNA,-1,31347,chr1_42324590_42355937
Pantr1,1,42590782,42694842,lincRNA,-1,104060,chr1_42590782_42694842
Pou3f3,1,42694925,42703176,protein_coding,1,8251,chr1_42694925_42703176
Dalir,1,42750712,42752881,lincRNA,1,2169,chr1_42750712_42752881
Mrps9,1,42851233,42905683,protein_coding,1,54450,chr1_42851233_42905683
Gpr45,1,42952872,43035456,protein_coding,1,82584,chr1_42952872_43035456
Tgfbrap1,1,43047200,43098637,protein_coding,-1,51437,chr1_43047200_43098637
Gm28782,1,43056267,43057134,antisense,1,867,chr1_43056267_43057134
8430432A02Rik,1,43092588,43093835,antisense,1,1247,chr1_43092588_43093835
AI597479,1,43098710,43115947,protein_coding,1,17237,chr1_43098710_43115947
Fhl2,1,43123074,43196984,protein_coding,-1,73910,chr1_43123074_43196984
Gm29040,1,43250156,43302925,lincRNA,-1,52769,chr1_43250156_43302925
Nck2,1,43444579,43570515,protein_coding,1,125936,chr1_43444579_43570515
Gm29155,1,43741961,43743895,antisense,-1,1934,chr1_43741961_43743895
Gm29157,1,43742915,43743526,lincRNA,1,611,chr1_43742915_43743526
Gm29156,1,43745784,43746282,lincRNA,-1,498,chr1_43745784_43746282
Uxs1,1,43746966,43827800,protein_coding,-1,80834,chr1_43746966_43827800
Tpp2,1,43933647,44003000,protein_coding,1,69353,chr1_43933647_44003000
Mettl21c,1,44009408,44020034,protein_coding,-1,10626,chr1_44009408_44020034
Gm8251,1,44055872,44079746,protein_coding,-1,23874,chr1_44055872_44079746
Tex30,1,44086613,44102441,protein_coding,-1,15828,chr1_44086613_44102441
Bivm,1,44118957,44144770,protein_coding,1,25813,chr1_44118957_44144770
Ercc5,1,44147744,44181260,protein_coding,1,33516,chr1_44147744_44181260
Mettl21e,1,44204070,44218961,protein_coding,-1,14891,chr1_44204070_44218961
Gulp1,1,44551511,44796838,protein_coding,1,245327,chr1_44551511_44796838
4930521E06Rik,1,44739676,44744949,antisense,-1,5273,chr1_44739676_44744949
Col3a1,1,45311538,45349706,protein_coding,1,38168,chr1_45311538_45349706
Col5a2,1,45374321,45503282,protein_coding,-1,128961,chr1_45374321_45503282
Wdr75,1,45795166,45823619,protein_coding,1,28453,chr1_45795166_45823619
Gm5269,1,45889525,45890273,protein_coding,-1,748,chr1_45889525_45890273
Slc40a1,1,45908068,45926523,protein_coding,-1,18455,chr1_45908068_45926523
Dnah7b,1,46066315,46373550,protein_coding,1,307235,chr1_46066315_46373550
Dnah7c,1,46425592,46807476,protein_coding,1,381884,chr1_46425592_46807476
Slc39a10,1,46807544,46892852,protein_coding,-1,85308,chr1_46807544_46892852
Gm28826,1,47153461,47189071,lincRNA,1,35610,chr1_47153461_47189071
C230029F24Rik,1,49244616,49340443,lincRNA,1,95827,chr1_49244616_49340443
4933411E06Rik,1,50107470,50108962,lincRNA,1,1492,chr1_50107470_50108962
Tmeff2,1,50900647,51187270,protein_coding,1,286623,chr1_50900647_51187270
Gm28319,1,51138281,51141222,antisense,-1,2941,chr1_51138281_51141222
Gm29325,1,51195221,51197748,lincRNA,1,2527,chr1_51195221_51197748
9330175M20Rik,1,51218386,51333779,antisense,-1,115393,chr1_51218386_51333779
Cavin2,1,51289126,51302960,protein_coding,1,13834,chr1_51289126_51302960
Nabp1,1,51465862,51478425,protein_coding,-1,12563,chr1_51465862_51478425
Gm17767,1,51507086,51596718,lincRNA,-1,89632,chr1_51507086_51596718
Gm28055,1,51696324,51746943,lincRNA,-1,50619,chr1_51696324_51746943
Myo1b,1,51749765,51916071,protein_coding,-1,166306,chr1_51749765_51916071
Stat4,1,51987148,52107189,protein_coding,1,120041,chr1_51987148_52107189
Gm31812,1,52108121,52113751,lincRNA,-1,5630,chr1_52108121_52113751
Stat1,1,52119440,52161865,protein_coding,1,42425,chr1_52119440_52161865
Gls,1,52163448,52233232,protein_coding,-1,69784,chr1_52163448_52233232
Nab1,1,52457294,52500679,protein_coding,-1,43385,chr1_52457294_52500679
Gm553,1,52522902,52582679,lincRNA,1,59777,chr1_52522902_52582679
Gm28178,1,52570014,52580291,lincRNA,-1,10277,chr1_52570014_52580291
Nemp2,1,52630703,52651919,protein_coding,1,21216,chr1_52630703_52651919
Mfsd6,1,52656286,52727462,protein_coding,-1,71176,chr1_52656286_52727462
Inpp1,1,52785427,52817688,protein_coding,-1,32261,chr1_52785427_52817688
Hibch,1,52844929,52920986,protein_coding,1,76057,chr1_52844929_52920986
1700019D03Rik,1,52922324,53020179,protein_coding,-1,97855,chr1_52922324_53020179
Mstn,1,53061640,53068079,protein_coding,1,6439,chr1_53061640_53068079
1700019A02Rik,1,53158577,53187636,protein_coding,-1,29059,chr1_53158577_53187636
Pms1,1,53189187,53297018,protein_coding,-1,107831,chr1_53189187_53297018
Gm28777,1,53196113,53197695,antisense,1,1582,chr1_53196113_53197695
Ormdl1,1,53297095,53310309,protein_coding,1,13214,chr1_53297095_53310309
Gm28778,1,53297111,53318035,protein_coding,1,20924,chr1_53297111_53318035
Osgepl1,1,53313624,53326343,protein_coding,1,12719,chr1_53313624_53326343
Gm28551,1,53325507,53352667,protein_coding,-1,27160,chr1_53325507_53352667
Asnsd1,1,53344617,53352752,protein_coding,-1,8135,chr1_53344617_53352752
Dnah7a,1,53397006,53706784,protein_coding,-1,309778,chr1_53397006_53706784
Stk17b,1,53755506,53785224,protein_coding,-1,29718,chr1_53755506_53785224
Hecw2,1,53806876,54195168,protein_coding,-1,388292,chr1_53806876_54195168
Ccdc150,1,54250683,54368727,protein_coding,1,118044,chr1_54250683_54368727
Gtf3c3,1,54396004,54438971,protein_coding,-1,42967,chr1_54396004_54438971
Gm34066,1,54443404,54456763,protein_coding,-1,13359,chr1_54443404_54456763
Pgap1,1,54472994,54557684,protein_coding,-1,84690,chr1_54472994_54557684
Ankrd44,1,54645340,54926387,protein_coding,-1,281047,chr1_54645340_54926387
4930444A19Rik,1,54681729,54767524,antisense,1,85795,chr1_54681729_54767524
Sf3b1,1,54985169,55027481,protein_coding,-1,42312,chr1_54985169_55027481
Coq10b,1,55052770,55072702,protein_coding,1,19932,chr1_55052770_55072702
Hspd1,1,55077835,55088243,protein_coding,-1,10408,chr1_55077835_55088243
Hspe1,1,55088132,55091307,protein_coding,1,3175,chr1_55088132_55091307
Mob4,1,55131231,55154899,protein_coding,1,23668,chr1_55131231_55154899
Rftn2,1,55170159,55226782,protein_coding,-1,56623,chr1_55170159_55226782
Gm10561,1,55226251,55235622,antisense,1,9371,chr1_55226251_55235622
Mars2,1,55237177,55248470,protein_coding,1,11293,chr1_55237177_55248470
Boll,1,55248658,55363469,protein_coding,-1,114811,chr1_55248658_55363469
Plcl1,1,55405921,55754285,protein_coding,1,348364,chr1_55405921_55754285
9130227L01Rik,1,55931241,55972328,lincRNA,1,41087,chr1_55931241_55972328
Gm28240,1,56531824,56533876,lincRNA,1,2052,chr1_56531824_56533876
Hsfy2,1,56636044,56637435,protein_coding,-1,1391,chr1_56636044_56637435
Satb2,1,56793981,56978650,protein_coding,-1,184669,chr1_56793981_56978650
BC055402,1,57200645,57214993,lincRNA,-1,14348,chr1_57200645_57214993
4930558J18Rik,1,57359222,57377544,lincRNA,-1,18322,chr1_57359222_57377544
1700066M21Rik,1,57377620,57385423,protein_coding,1,7803,chr1_57377620_57385423
Tyw5,1,57388237,57407101,protein_coding,-1,18864,chr1_57388237_57407101
Maip1,1,57406328,57417953,protein_coding,1,11625,chr1_57406328_57417953
Spats2l,1,57774162,57948394,protein_coding,1,174232,chr1_57774162_57948394
Gm17234,1,57909835,57917111,antisense,-1,7276,chr1_57909835_57917111
Kctd18,1,57955101,58018956,protein_coding,-1,63855,chr1_57955101_58018956
Sgo2a,1,57995971,58025899,protein_coding,1,29928,chr1_57995971_58025899
Aox1,1,58029931,58106413,protein_coding,1,76482,chr1_58029931_58106413
Aox3,1,58113130,58200698,protein_coding,1,87568,chr1_58113130_58200698
Aox4,1,58210397,58268597,protein_coding,1,58200,chr1_58210397_58268597
Gm15759,1,58254117,58315656,antisense,-1,61539,chr1_58254117_58315656
Aox2,1,58278326,58380259,protein_coding,1,101933,chr1_58278326_58380259
Bzw1,1,58392898,58407353,protein_coding,1,14455,chr1_58392898_58407353
Clk1,1,58410189,58424066,protein_coding,-1,13877,chr1_58410189_58424066
Ppil3,1,58430994,58445486,protein_coding,-1,14492,chr1_58430994_58445486
Nif3l1,1,58445151,58481816,protein_coding,1,36665,chr1_58445151_58481816
Orc2,1,58462771,58505109,protein_coding,-1,42338,chr1_58462771_58505109
Gm15834,1,58505148,58523230,lincRNA,1,18082,chr1_58505148_58523230
Fam126b,1,58522806,58586323,protein_coding,-1,63517,chr1_58522806_58586323
Ndufb3,1,58586384,58595964,protein_coding,1,9580,chr1_58586384_58595964
Cflar,1,58711508,58758884,protein_coding,1,47376,chr1_58711508_58758884
Casp8,1,58795374,58847503,protein_coding,1,52129,chr1_58795374_58847503
Trak2,1,58900449,58973430,protein_coding,-1,72981,chr1_58900449_58973430
Stradb,1,58973522,58995715,protein_coding,1,22193,chr1_58973522_58995715
Gm29018,1,59014224,59059481,antisense,1,45257,chr1_59014224_59059481
C2cd6,1,58997116,59094900,protein_coding,-1,97784,chr1_58997116_59094900
