gene,chr,start,end,gene_biotype,coding_strand,length,genomic_position
1700003L19Rik,16,12800579,12848653,lincRNA,1,48074,chr16_12800579_12848653
1700003M07Rik,4,129960374,129963657,lincRNA,1,3283,chr4_129960374_129963657
1700003O11Rik,18,76014211,76015677,antisense,-1,1466,chr18_76014211_76015677
1700006F04Rik,14,119749225,119751564,sense_intronic,1,2339,chr14_119749225_119751564
1700007E05Rik,16,31376506,31379133,transcribed_processed_pseudogene,-1,2627,chr16_31376506_31379133
1700007F19Rik,3,58141707,58163807,lincRNA,-1,22100,chr3_58141707_58163807
1700007J10Rik,11,59725917,59740154,processed_transcript,-1,14237,chr11_59725917_59740154
1700007K13Rik,2,28462001,28466332,protein_coding,-1,4331,chr2_28462001_28466332
1700007L15Rik,16,33379854,33380727,bidirectional_promoter_lncRNA,-1,873,chr16_33379854_33380727
1700007P06Rik,1,187125138,187127852,antisense,1,2714,chr1_187125138_187127852
1700008J07Rik,7,127510438,127512869,antisense,-1,2431,chr7_127510438_127512869
1700008K24Rik,17,49112263,49113535,lincRNA,-1,1272,chr17_49112263_49113535
1700008O03Rik,7,44360043,44385820,protein_coding,-1,25777,chr7_44360043_44385820
1700009C05Rik,6,81900464,81910800,lincRNA,-1,10336,chr6_81900464_81910800
1700009N14Rik,4,39450295,39451776,protein_coding,1,1481,chr4_39450295_39451776
1700010H22Rik,5,98553629,98567004,lincRNA,-1,13375,chr5_98553629_98567004
1700010I14Rik,17,8988333,9011949,protein_coding,1,23616,chr17_8988333_9011949
1700010K23Rik,16,66657118,66664626,antisense,1,7508,chr16_66657118_66664626
1700010L04Rik,7,82851599,82859849,lincRNA,1,8250,chr7_82851599_82859849
1700010N08Rik,7,38791661,38860532,transcribed_processed_pseudogene,1,68871,chr7_38791661_38860532
1700012C14Rik,6,30460128,30463313,lincRNA,1,3185,chr6_30460128_30463313
1700012D14Rik,7,111083064,111122684,processed_transcript,-1,39620,chr7_111083064_111122684
1700012D16Rik,3,153296504,153298649,sense_intronic,-1,2145,chr3_153296504_153298649
1700012I11Rik,15,67226769,67377094,lincRNA,1,150325,chr15_67226769_67377094
1700013F07Rik,3,108534150,108544723,protein_coding,1,10573,chr3_108534150_108544723
1700015C15Rik,13,64427780,64432402,antisense,-1,4622,chr13_64427780_64432402
1700015F17Rik,5,5437827,5479143,protein_coding,-1,41316,chr5_5437827_5479143
1700016C15Rik,1,177729814,177753324,protein_coding,1,23510,chr1_177729814_177753324
1700016D06Rik,8,11654924,11701063,protein_coding,-1,46139,chr8_11654924_11701063
1700016G22Rik,13,5855508,5858092,lincRNA,-1,2584,chr13_5855508_5858092
1700016H13Rik,5,103648039,103656010,protein_coding,-1,7971,chr5_103648039_103656010
1700016J18Rik,10,42018216,42018810,bidirectional_promoter_lncRNA,1,594,chr10_42018216_42018810
1700016K19Rik,11,75999912,76003569,protein_coding,1,3657,chr11_75999912_76003569
1700017B05Rik,9,57253117,57262612,protein_coding,-1,9495,chr9_57253117_57262612
1700017M07Rik,3,35256462,35276131,lincRNA,-1,19669,chr3_35256462_35276131
1700017N19Rik,10,100590484,100618401,protein_coding,1,27917,chr10_100590484_100618401
1700018A23Rik,6,126822377,126825177,antisense,1,2800,chr6_126822377_126825177
1700018B08Rik,8,121530780,121544320,protein_coding,-1,13540,chr8_121530780_121544320
1700018G05Rik,X,102928372,102929094,protein_coding,1,722,chrX_102928372_102929094
1700018L02Rik,19,29046245,29048729,antisense,1,2484,chr19_29046245_29048729
1700019A02Rik,1,53158577,53187636,protein_coding,-1,29059,chr1_53158577_53187636
1700019D03Rik,1,52922324,53020179,protein_coding,-1,97855,chr1_52922324_53020179
1700019G24Rik,6,5963909,5977393,antisense,-1,13484,chr6_5963909_5977393
1700019J19Rik,9,14089620,14118301,lincRNA,1,28681,chr9_14089620_14118301
1700019N19Rik,19,58785803,58794461,protein_coding,-1,8658,chr19_58785803_58794461
1700019P21Rik,1,138876272,138876951,lincRNA,-1,679,chr1_138876272_138876951
1700020A23Rik,2,130405259,130406074,protein_coding,1,815,chr2_130405259_130406074
1700020D05Rik,19,5502767,5503787,protein_coding,-1,1020,chr19_5502767_5503787
1700020D12Rik,12,26572108,26602309,lincRNA,-1,30201,chr12_26572108_26602309
1700020L24Rik,11,83437677,83441233,protein_coding,1,3556,chr11_83437677_83441233
1700021L23Rik,4,124302837,124311461,lincRNA,-1,8624,chr4_124302837_124311461
1700021N21Rik,4,134448766,134450171,antisense,-1,1405,chr4_134448766_134450171
1700022H01Rik,10,61674789,61680255,bidirectional_promoter_lncRNA,-1,5466,chr10_61674789_61680255
1700022I11Rik,4,42969604,42983640,protein_coding,1,14036,chr4_42969604_42983640
1700022N22Rik,17,25985808,25991030,antisense,1,5222,chr17_25985808_25991030
1700023F02Rik,10,66120605,66254223,lincRNA,-1,133618,chr10_66120605_66254223
1700024B18Rik,14,123987635,124015684,antisense,1,28049,chr14_123987635_124015684
1700025D23Rik,11,114091406,114095336,lincRNA,1,3930,chr11_114091406_114095336
1700025F24Rik,10,119413444,119426864,lincRNA,1,13420,chr10_119413444_119426864
1700025G04Rik,1,151852403,152090125,protein_coding,-1,237722,chr1_151852403_152090125
1700025J12Rik,7,121589903,121591591,lincRNA,1,1688,chr7_121589903_121591591
1700025K24Rik,17,54352583,54370074,lincRNA,-1,17491,chr17_54352583_54370074
1700025N23Rik,6,39063878,39067598,antisense,-1,3720,chr6_39063878_39067598
1700026D11Rik,2,132490634,132524057,antisense,1,33423,chr2_132490634_132524057
1700026J14Rik,6,48536582,48537474,lincRNA,-1,892,chr6_48536582_48537474
1700027H10Rik,3,45416584,45439310,antisense,-1,22726,chr3_45416584_45439310
1700027I24Rik,9,36668856,36693189,bidirectional_promoter_lncRNA,-1,24333,chr9_36668856_36693189
1700028B04Rik,7,28492550,28497713,transcribed_processed_pseudogene,1,5163,chr7_28492550_28497713
1700028E10Rik,5,151368675,151432118,processed_transcript,1,63443,chr5_151368675_151432118
1700028J19Rik,7,44229811,44246695,protein_coding,-1,16884,chr7_44229811_44246695
1700028K03Rik,5,107534709,107551542,protein_coding,1,16833,chr5_107534709_107551542
1700028P14Rik,19,23558753,23652812,protein_coding,-1,94059,chr19_23558753_23652812
1700029H14Rik,8,13550733,13562461,protein_coding,-1,11728,chr8_13550733_13562461
1700029I15Rik,2,92382538,92385708,protein_coding,1,3170,chr2_92382538_92385708
1700029J07Rik,8,45953606,45975440,protein_coding,-1,21834,chr8_45953606_45975440
1700030A11Rik,17,28905265,28906771,antisense,1,1506,chr17_28905265_28906771
1700030C10Rik,12,20804381,20815779,processed_transcript;transcribed_unprocessed_pseudogene,-1,11398,chr12_20804381_20815779
1700030C14Rik,2,152652883,152654330,antisense,-1,1447,chr2_152652883_152654330
1700030E10Rik,10,67708588,67718039,lincRNA,-1,9451,chr10_67708588_67718039
1700030F04Rik,6,117646693,117751769,lincRNA,-1,105076,chr6_117646693_117751769
1700030J22Rik,8,116969594,116978959,protein_coding,-1,9365,chr8_116969594_116978959
1700030K09Rik,8,72443880,72461001,protein_coding,1,17121,chr8_72443880_72461001
1700030L20Rik,3,136435270,136449349,lincRNA,-1,14079,chr3_136435270_136449349
1700030L22Rik,12,53303352,53309846,antisense,-1,6494,chr12_53303352_53309846
1700031A10Rik,17,36923792,36933432,antisense,1,9640,chr17_36923792_36933432
1700034G24Rik,5,112582936,112589996,lincRNA,-1,7060,chr5_112582936_112589996
1700034H15Rik,CHR_MG3999_PATCH,191886130,191907527,antisense;lncRNA,-1,21397,chrCHR_MG3999_PATCH_191886130_191907527
1700034I23Rik,3,40800477,40902543,protein_coding,-1,102066,chr3_40800477_40902543
1700034J05Rik,6,146950329,146954422,protein_coding,-1,4093,chr6_146950329_146954422
1700034P13Rik,1,9747648,9791924,antisense,1,44276,chr1_9747648_9791924
1700037C18Rik,16,3895179,3908689,protein_coding,-1,13510,chr16_3895179_3908689
1700037H04Rik,2,131146324,131160081,protein_coding,-1,13757,chr2_131146324_131160081
1700039E22Rik,19,44828493,44835938,antisense,-1,7445,chr19_44828493_44835938
1700039M10Rik,14,57571614,57572368,bidirectional_promoter_lncRNA,1,754,chr14_57571614_57572368
1700040D17Rik,3,94409395,94412919,lincRNA,-1,3524,chr3_94409395_94412919
1700041B01Rik,15,78670785,78676114,antisense,1,5329,chr15_78670785_78676114
1700042G15Rik,4,57360868,57364292,lincRNA,-1,3424,chr4_57360868_57364292
1700045H11Rik,4,150828225,150854949,antisense,-1,26724,chr4_150828225_150854949
1700047A11Rik,8,26082609,26096522,antisense,1,13913,chr8_26082609_26096522
1700047E10Rik,14,44191607,44213237,antisense,-1,21630,chr14_44191607_44213237
1700047G03Rik,15,11964276,11970086,lincRNA,1,5810,chr15_11964276_11970086
1700047M11Rik,1,182287990,182303325,lincRNA,1,15335,chr1_182287990_182303325
1700048F04Rik,5,125928770,125952630,lincRNA,1,23860,chr5_125928770_125952630
1700048M11Rik,16,92308716,92312468,antisense,-1,3752,chr16_92308716_92312468
1700048O20Rik,9,121937223,121947016,lincRNA,1,9793,chr9_121937223_121947016
1700049E15Rik,6,147690241,147702374,lincRNA,1,12133,chr6_147690241_147702374
1700051A21Rik,11,72266421,72268575,processed_transcript,1,2154,chr11_72266421_72268575
1700052K11Rik,11,105177726,105181433,antisense,-1,3707,chr11_105177726_105181433
1700054A03Rik,19,53033648,53084516,processed_transcript,1,50868,chr19_53033648_53084516
1700054M17Rik,2,118304914,118308166,antisense,1,3252,chr2_118304914_118308166
1700055D18Rik,4,45011687,45015406,antisense,1,3719,chr4_45011687_45015406
1700056E22Rik,1,184033030,184034301,protein_coding,-1,1271,chr1_184033030_184034301
1700061I17Rik,3,117060522,117077765,lincRNA,-1,17243,chr3_117060522_117077765
1700063D05Rik,9,41192446,41217990,lincRNA,1,25544,chr9_41192446_41217990
1700064M15Rik,12,99626053,99627974,lincRNA,-1,1921,chr12_99626053_99627974
1700065D16Rik,9,95855418,95858322,antisense,-1,2904,chr9_95855418_95858322
1700065J18Rik,1,192841661,192842740,lincRNA,1,1079,chr1_192841661_192842740
1700065L07Rik,6,73436986,73471021,lincRNA,-1,34035,chr6_73436986_73471021
1700066B17Rik,1,39839175,39847334,lincRNA,-1,8159,chr1_39839175_39847334
1700066B19Rik,18,35703225,35730869,protein_coding,1,27644,chr18_35703225_35730869
1700066C05Rik,16,79999376,80000546,lincRNA,1,1170,chr16_79999376_80000546
1700066J03Rik,13,58146949,58149692,processed_transcript,1,2743,chr13_58146949_58149692
1700066M21Rik,1,57377620,57385423,protein_coding,1,7803,chr1_57377620_57385423
1700067K01Rik,8,84001502,84004770,protein_coding,1,3268,chr8_84001502_84004770
1700067P10Rik,17,48088914,48090918,protein_coding,1,2004,chr17_48088914_48090918
1700071G01Rik,5,73157014,73157884,antisense,1,870,chr5_73157014_73157884
1700071K01Rik,11,81572655,81573473,processed_pseudogene,-1,818,chr11_81572655_81573473
1700071M16Rik,17,43588340,43592442,antisense,-1,4102,chr17_43588340_43592442
1700073E17Rik,6,145387596,145402179,transcribed_processed_pseudogene,1,14583,chr6_145387596_145402179
1700074H08Rik,13,119680040,119681588,lincRNA,1,1548,chr13_119680040_119681588
1700080N15Rik,2,4132063,4141141,antisense,-1,9078,chr2_4132063_4141141
1700081B01Rik,5,126706914,126736252,lincRNA,1,29338,chr5_126706914_126736252
1700084E18Rik,2,30236795,30238223,antisense,-1,1428,chr2_30236795_30238223
1700084J12Rik,15,33403985,33405976,transcribed_processed_pseudogene,-1,1991,chr15_33403985_33405976
1700085C21Rik,12,82932520,82939155,antisense,-1,6635,chr12_82932520_82939155
1700086D15Rik,11,65151910,65159891,protein_coding,-1,7981,chr11_65151910_65159891
1700086L19Rik,12,74284242,74295945,transcribed_unitary_pseudogene,1,11703,chr12_74284242_74295945
1700086O06Rik,18,38238405,38250565,lincRNA,-1,12160,chr18_38238405_38250565
1700086P04Rik,4,129050097,129057983,lincRNA,-1,7886,chr4_129050097_129057983
1700087I21Rik,14,103424905,103449867,lincRNA,1,24962,chr14_103424905_103449867
1700087M22Rik,14,30770681,30778004,antisense,-1,7323,chr14_30770681_30778004
1700088E04Rik,15,79129349,79141253,protein_coding,-1,11904,chr15_79129349_79141253
1700092K14Rik,11,114198258,114199199,processed_transcript,1,941,chr11_114198258_114199199
1700092M07Rik,19,8740718,8741225,protein_coding,1,507,chr19_8740718_8741225
1700093K21Rik,11,23516203,23521155,protein_coding,-1,4952,chr11_23516203_23521155
1700094D03Rik,3,90062796,90068347,protein_coding,1,5551,chr3_90062796_90068347
1700094J05Rik,10,76389015,76401507,antisense,1,12492,chr10_76389015_76401507
1700094M23Rik,3,153162728,153182815,lincRNA,-1,20087,chr3_153162728_153182815
1700095J12Rik,4,138137595,138138518,antisense,-1,923,chr4_138137595_138138518
1700096J18Rik,11,109346839,109353651,lincRNA,1,6812,chr11_109346839_109353651
1700096K18Rik,5,25530013,25531466,lincRNA,1,1453,chr5_25530013_25531466
1700099I09Rik,13,102760255,102761896,antisense,1,1641,chr13_102760255_102761896
1700100I10Rik,14,114940227,114945948,lincRNA,-1,5721,chr14_114940227_114945948
1700100L14Rik,13,70573241,70576110,antisense,1,2869,chr13_70573241_70576110
1700101I11Rik,6,129531950,129533817,processed_transcript,-1,1867,chr6_129531950_129533817
1700102H20Rik,17,3557824,3559862,lincRNA,1,2038,chr17_3557824_3559862
1700102P08Rik,9,108392805,108410934,protein_coding,1,18129,chr9_108392805_108410934
1700105P06Rik,19,7382537,7383561,antisense,1,1024,chr19_7382537_7383561
1700108F19Rik,14,76672963,76687169,processed_transcript,1,14206,chr14_76672963_76687169
1700109G14Rik,14,61292980,61318146,antisense,-1,25166,chr14_61292980_61318146
1700109H08Rik,5,3571566,3584356,protein_coding,1,12790,chr5_3571566_3584356
1700109K24Rik,15,77084398,77096314,antisense,1,11916,chr15_77084398_77096314
1700110C19Rik,17,10324602,10329307,lincRNA,1,4705,chr17_10324602_10329307
1700110I01Rik,14,3262340,3305832,lincRNA,1,43492,chr14_3262340_3305832
1700110I07Rik,7,41060617,41089843,lincRNA,-1,29226,chr7_41060617_41089843
1700110K17Rik,9,40323426,40343564,antisense,1,20138,chr9_40323426_40343564
1700111N16Rik,X,69929259,70143588,antisense,-1,214329,chrX_69929259_70143588
1700112D23Rik,3,28702667,28781108,antisense,-1,78441,chr3_28702667_28781108
1700112H15Rik,1,184527841,184557691,lincRNA,-1,29850,chr1_184527841_184557691
1700112J05Rik,5,77006449,77018863,lincRNA,-1,12414,chr5_77006449_77018863
1700112J16Rik,7,67204082,67222536,lincRNA,-1,18454,chr7_67204082_67222536
1700113A16Rik,3,88171556,88177785,antisense,-1,6229,chr3_88171556_88177785
1700113B09Rik,10,71181036,71204487,lincRNA,1,23451,chr10_71181036_71204487
1700113H08Rik,10,87058045,87230589,protein_coding,1,172544,chr10_87058045_87230589
1700116H05Rik,17,88294505,88306887,lincRNA,-1,12382,chr17_88294505_88306887
1700120C14Rik,15,99249511,99262044,processed_transcript,1,12533,chr15_99249511_99262044
1700120E14Rik,18,74525140,74531124,antisense,-1,5984,chr18_74525140_74531124
1700120G07Rik,7,135191764,135196002,lincRNA,-1,4238,chr7_135191764_135196002
1700120K04Rik,7,127603900,127604445,antisense,-1,545,chr7_127603900_127604445
1700122E12Rik,8,84847188,84848415,processed_transcript,1,1227,chr8_84847188_84848415
1700122H20Rik,17,6895940,6901718,antisense,1,5778,chr17_6895940_6901718
1700123J17Rik,7,126224247,126248238,lincRNA,-1,23991,chr7_126224247_126248238
1700123K08Rik,5,138561840,138564712,protein_coding,-1,2872,chr5_138561840_138564712
1700123L14Rik,6,96164497,96166243,protein_coding,-1,1746,chr6_96164497_96166243
1700123M08Rik,4,11966565,11994280,processed_transcript,1,27715,chr4_11966565_11994280
1700123O20Rik,14,54686216,54690741,protein_coding,1,4525,chr14_54686216_54690741
1700123O21Rik,16,5975585,5998496,sense_intronic,1,22911,chr16_5975585_5998496
1700124L16Rik,6,83761756,83762865,antisense,-1,1109,chr6_83761756_83762865
1700125G02Rik,4,124890888,124894782,antisense,-1,3894,chr4_124890888_124894782
1700125G22Rik,3,27154026,27157019,lincRNA,1,2993,chr3_27154026_27157019
1700125H03Rik,8,68368434,68375710,antisense,1,7276,chr8_68368434_68375710
1700125H20Rik,11,85170404,85181145,protein_coding,1,10741,chr11_85170404_85181145
1700128F08Rik,9,8221889,8241987,transcribed_processed_pseudogene,1,20098,chr9_8221889_8241987
1810007C17Rik,12,49476991,49480862,lincRNA,-1,3871,chr12_49476991_49480862
1810007D17Rik,19,58606329,58629753,lincRNA,1,23424,chr19_58606329_58629753
1810009A15Rik,19,8888853,8890881,protein_coding,1,2028,chr19_8888853_8890881
1810010H24Rik,11,107025681,107030443,protein_coding,1,4762,chr11_107025681_107030443
1810012K08Rik,2,26138546,26139543,lincRNA,1,997,chr2_26138546_26139543
1810012K16Rik,8,22398721,22399596,lincRNA,1,875,chr8_22398721_22399596
1810013D15Rik,3,157925220,157938355,antisense,1,13135,chr3_157925220_157938355
1810013L24Rik,16,8830100,8858922,protein_coding,1,28822,chr16_8830100_8858922
1810014B01Rik,10,86685525,86694806,transcribed_unprocessed_pseudogene,1,9281,chr10_86685525_86694806
1810018F18Rik,19,58698917,58715770,transcribed_unprocessed_pseudogene,1,16853,chr19_58698917_58715770
1810019D21Rik,8,106135400,106138525,processed_transcript,1,3125,chr8_106135400_106138525
1810019N24Rik,7,12948592,12961768,lincRNA,-1,13176,chr7_12948592_12961768
1810020O05Rik,6,87675590,87722801,protein_coding,-1,47211,chr6_87675590_87722801
1810021B22Rik,15,89071196,89075852,antisense,-1,4656,chr15_89071196_89075852
1810024B03Rik,2,127186355,127208280,protein_coding,-1,21925,chr2_127186355_127208280
1810026B05Rik,7,73539801,73558395,processed_transcript,-1,18594,chr7_73539801_73558395
1810030O07Rik,X,12654879,12673668,protein_coding,-1,18789,chrX_12654879_12673668
1810034E14Rik,13,64248700,64271852,antisense,1,23152,chr13_64248700_64271852
1810037I17Rik,3,122924203,122926184,protein_coding,1,1981,chr3_122924203_122926184
1810041H14Rik,14,121876725,121879409,antisense,-1,2684,chr14_121876725_121879409
1810044D09Rik,6,91440987,91441755,lincRNA,1,768,chr6_91440987_91441755
1810046K07Rik,9,51289686,51328924,protein_coding,-1,39238,chr9_51289686_51328924
1810055G02Rik,19,3708293,3717881,protein_coding,1,9588,chr19_3708293_3717881
1810058I24Rik,6,35252654,35263496,protein_coding,1,10842,chr6_35252654_35263496
1810062G17Rik,3,36475937,36482299,protein_coding,1,6362,chr3_36475937_36482299
1810062O18Rik,14,20546079,20570687,antisense,1,24608,chr14_20546079_20570687
1810064F22Rik,9,22196963,22213860,antisense,-1,16897,chr9_22196963_22213860
2010001A14Rik,11,57795499,57801417,processed_transcript,-1,5918,chr11_57795499_57801417
2010001M07Rik,9,60334142,60334968,antisense,1,826,chr9_60334142_60334968
2010009K17Rik,2,158070367,158091797,antisense,-1,21430,chr2_158070367_158091797
2010010A06Rik,18,75288655,75297329,transcribed_processed_pseudogene,-1,8674,chr18_75288655_75297329
2010016I18Rik,3,106481982,106485913,processed_transcript,-1,3931,chr3_106481982_106485913
2010106C02Rik,17,86285164,86287178,antisense,-1,2014,chr17_86285164_86287178
2010109A12Rik,5,93206518,93213475,protein_coding,1,6957,chr5_93206518_93213475
2010110K18Rik,18,34751809,34758685,lincRNA,1,6876,chr18_34751809_34758685
2010204K13Rik,X,7411817,7445143,processed_transcript,-1,33326,chrX_7411817_7445143
2010300C02Rik,1,37611677,37720085,protein_coding,-1,108408,chr1_37611677_37720085
2010308F09Rik,X,13234641,13247736,lincRNA,-1,13095,chrX_13234641_13247736
2010310C07Rik,6,42370671,42381215,antisense,1,10544,chr6_42370671_42381215
2010315B03Rik,9,124291804,124312696,protein_coding,-1,20892,chr9_124291804_124312696
2010320M18Rik,8,70776810,70777823,lincRNA;lncRNA,1,1013,chr8_70776810_70777823
2010320O07Rik,18,38209772,38229145,lincRNA,1,19373,chr18_38209772_38229145
2200002D01Rik,7,29246561,29248466,protein_coding,-1,1905,chr7_29246561_29248466
2200002J24Rik,7,30698926,30700536,protein_coding,1,1610,chr7_30698926_30700536
2210016F16Rik,13,58379817,58385225,protein_coding,-1,5408,chr13_58379817_58385225
2210016L21Rik,5,114942158,114949783,protein_coding,1,7625,chr5_114942158_114949783
2210406O10Rik,5,36447611,36464853,lincRNA,-1,17242,chr5_36447611_36464853
2210408F21Rik,6,31220351,31337404,processed_transcript,1,117053,chr6_31220351_31337404
2210408I21Rik,13,77135540,77613784,protein_coding,1,478244,chr13_77135540_77613784
2210409D07Rik,18,57632079,57638585,antisense,-1,6506,chr18_57632079_57638585
2210409E12Rik,11,88972657,88973002,transcribed_processed_pseudogene,1,345,chr11_88972657_88973002
2210420H20Rik,18,82754505,82759041,lincRNA,-1,4536,chr18_82754505_82759041
2300009A05Rik,9,63394447,63399246,protein_coding,-1,4799,chr9_63394447_63399246
2310001H17Rik,6,129208412,129238725,lincRNA,-1,30313,chr6_129208412_129238725
2310001K24Rik,2,163471957,163473005,antisense,1,1048,chr2_163471957_163473005
2310002D06Rik,12,80507206,80517954,lincRNA,1,10748,chr12_80507206_80517954
